Cancer	Domain	MutRatio	SwitchRatio	MutIn	AllMuts	SwitchesIn	AllSwitches	DomainCount	AllDomains
brca	PF14555|UBA-like_domain	4.12235138923e-05	0.0	1	24258.0	0	61136	8.0	42611.0
brca	PF09166|Biliverdin_reductase,_catalytic	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PF06608|Protein_of_unknown_function_(DUF1143)	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF04161|Arv1-like_family	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF02782|FGGY_family_of_carbohydrate_kinases,_C-terminal_domain	0.000164894055569	0.0	4	24258.0	0	61136	4.0	42611.0
brca	PF00474|Sodium:solute_symporter_family	0.000329788111139	0.0	8	24258.0	0	61136	2.0	42611.0
brca	PF14748|Pyrroline-5-carboxylate_reductase_dimerisation	8.24470277846e-05	0.0	2	24258.0	0	61136	3.0	42611.0
brca	PS51402|CATALASE_3_catalase_family_profile.	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF15282|BMP-2-inducible_protein_kinase_C-terminus	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF05022|SRP40,_C-terminal_domain	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF13248|zinc-ribbon_domain	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF03644|Glycosyl_hydrolase_family_85	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF15067|FAM124_family	0.000247341083354	0.0	6	24258.0	0	61136	2.0	42611.0
brca	PF07701|Heme_NO_binding_associated	0.000164894055569	0.0	4	24258.0	0	61136	3.0	42611.0
brca	PF00262|Calreticulin_family	0.000206117569462	0.0	5	24258.0	0	61136	3.0	42611.0
brca	PS51718|G_DYNAMIN_2_Dynamin-type_guanine_nucleotide-binding_(G)_domain_profile.	0.00070079973617	0.0	17	24258.0	0	61136	13.0	42611.0
brca	PF13489|Methyltransferase_domain	8.24470277846e-05	0.0	2	24258.0	0	61136	4.0	42611.0
brca	PF14666|Rapamycin-insensitive_companion_of_mTOR,_middle_domain	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF06202|Amylo-alpha-1,6-glucosidase	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF00348|Polyprenyl_synthetase	0.000371011625031	0.0	9	24258.0	0	61136	4.0	42611.0
brca	PF03151|Triose-phosphate_Transporter_family	0.000164894055569	0.0	4	24258.0	0	61136	6.0	42611.0
brca	PS01033|GLOBIN_Globin_family_profile.	8.24470277846e-05	0.0	2	24258.0	0	61136	3.0	42611.0
brca	PF09329|Primase_zinc_finger	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF14736|Protein_N-terminal_asparagine_amidohydrolase	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF00193|Extracellular_link_domain	0.000123670541677	0.0	3	24258.0	0	61136	15.0	42611.0
brca	PF08016|Polycystin_cation_channel	0.000329788111139	0.0	8	24258.0	0	61136	6.0	42611.0
brca	PF05427|Acidic_fibroblast_growth_factor_binding_(FIBP)	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF01823|MAC/Perforin_domain	8.24470277846e-05	0.0	2	24258.0	0	61136	2.0	42611.0
brca	PF04795|PAPA-1-like_conserved_region	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PS51195|Q_MOTIF_DEAD-box_RNA_helicase_Q_motif_profile.	8.24470277846e-05	0.0	2	24258.0	0	61136	23.0	42611.0
brca	PF02204|Vacuolar_sorting_protein_9_(VPS9)_domain	0.000123670541677	0.0	3	24258.0	0	61136	9.0	42611.0
brca	PF00413|Matrixin	0.000288564597246	0.0	7	24258.0	0	61136	8.0	42611.0
brca	PF14186|Cytoskeletal_adhesion	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF03567|Sulfotransferase_family	0.000371011625031	0.0	9	24258.0	0	61136	6.0	42611.0
brca	PS51070|SHD_Stonin_homology_domain_(SHD)_profile.	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PF14675|FANCI_solenoid_1	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF05033|Pre-SET_motif	0.000206117569462	0.0	5	24258.0	0	61136	6.0	42611.0
brca	PF03159|XRN_5'-3'_exonuclease_N-terminus	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF12470|Suppressor_of_Fused_Gli/Ci_N_terminal_binding_domain	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PF00876|Innexin	8.24470277846e-05	0.0	2	24258.0	0	61136	2.0	42611.0
brca	PS51236|TSP_CTER_Thrombospondin_C-terminal_domain_profile.	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF01384|Phosphate_transporter_family	0.000288564597246	0.0	7	24258.0	0	61136	2.0	42611.0
brca	PF10263|SprT-like_family	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF00503|G-protein_alpha_subunit	0.000453458652816	0.0	11	24258.0	0	61136	7.0	42611.0
brca	PF04321|RmlD_substrate_binding_domain	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PS51393|LIPOXYGENASE_3_Lipoxygenase_iron-binding_catalytic_domain_profile.	0.000247341083354	0.0	6	24258.0	0	61136	3.0	42611.0
brca	PF05837|Centromere_protein_H_(CENP-H)	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF02891|MIZ/SP-RING_zinc_finger	8.24470277846e-05	0.0	2	24258.0	0	61136	4.0	42611.0
brca	PF02762|CBL_proto-oncogene_N-terminus,_SH2-like_domain	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF01529|DHHC_palmitoyltransferase	0.000412235138923	0.0	10	24258.0	0	61136	18.0	42611.0
brca	PF13012|Maintenance_of_mitochondrial_structure_and_function	4.12235138923e-05	0.0	1	24258.0	0	61136	3.0	42611.0
brca	PF14702|central_domain_of_human_glycogen_debranching_enzyme	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF01128|2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF04263|Thiamin_pyrophosphokinase,_catalytic_domain	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF00310|Glutamine_amidotransferases_class-II	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF00294|pfkB_family_carbohydrate_kinase	0.000247341083354	0.0	6	24258.0	0	61136	4.0	42611.0
brca	PF05008|Vesicle_transport_v-SNARE_protein_N-terminus	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF01115|F-actin_capping_protein,_beta_subunit	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF00180|Isocitrate/isopropylmalate_dehydrogenase	0.000412235138923	0.0	10	24258.0	0	61136	5.0	42611.0
brca	PF00725|3-hydroxyacyl-CoA_dehydrogenase,_C-terminal_domain	0.000164894055569	0.0	4	24258.0	0	61136	6.0	42611.0
brca	PF12569|NMDA_receptor-regulated_protein_1	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF00755|Choline/Carnitine_o-acyltransferase	0.00115425838899	0.0	28	24258.0	0	61136	5.0	42611.0
